Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760043179,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760043181,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760043182,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760043183,150,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760043185,200,GET,healthz-warm,0.000000,0.000000,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,11,0,4000.0,3957.303462272235,3646.0307279921835,4255.001609999454,41.0
1760043185,200,,Aggregated,0.000000,0.000000,4000,4100,4100,4100,4200,4300,4300,4300,4300,4300,4300,11,0,4000.0,3957.303462272235,3646.0307279921835,4255.001609999454,41.0
1760043187,200,GET,healthz-warm,0.000000,0.000000,4200,4300,4400,4400,5200,5200,5200,5200,5200,5200,5200,22,0,4000.0,4130.737088225115,3646.0307279921835,5217.299008989357,41.0
1760043187,200,,Aggregated,0.000000,0.000000,4100,4200,4200,4300,4400,5200,5200,5200,5200,5200,5200,22,0,4000.0,4130.737088225115,3646.0307279921835,5217.299008989357,41.0
1760043190,200,GET,download_warm,0.222222,0.000000,4600,4700,5000,5000,5200,5200,5200,5200,5200,5200,5200,22,0,4300.0,3955.8697900449097,2456.7674930003705,5196.732292999513,16269.0
1760043190,200,GET,healthz-warm,5.000000,0.000000,7400,7600,7900,8400,8900,9500,9600,9600,9600,9600,9600,87,0,7100.0,6505.469992896006,3646.0307279921835,9589.125455997419,41.0
1760043190,200,,Aggregated,5.222222,0.000000,5200,7400,7600,7800,8600,9300,9500,9600,9600,9600,9600,109,0,5200.0,5990.871786815968,2456.7674930003705,9589.125455997419,3316.376146788991
1760043191,200,GET,download_warm,1.400000,0.000000,3500,3900,4600,4600,5000,5200,5400,5400,5400,5400,5400,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043191,200,GET,healthz-warm,5.600000,0.000000,7500,7900,8500,8700,9000,9500,9600,9600,9600,9600,9600,98,0,7400.0,6770.948561458885,3646.0307279921835,9589.125455997419,41.0
1760043191,200,,Aggregated,7.000000,0.000000,5000,7400,7700,7900,8800,9300,9500,9600,9600,9600,9600,143,0,5000.0,5796.397104887846,2456.7674930003705,9589.125455997419,5147.713286713287
1760043193,200,GET,download_processed,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,1900.0,2193.210175493732,1296.4677339914488,3620.488314991235,16269.0
1760043193,200,GET,download_warm,3.500000,0.000000,3500,3900,4600,4600,5000,5200,5400,5400,5400,5400,5400,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043193,200,GET,healthz,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,3800.0,3512.277229197207,2697.4872660066467,4292.721026999061,41.0
1760043193,200,GET,healthz-warm,8.700000,0.000000,7800,8600,8900,8900,9600,10000,10000,10000,10000,10000,10000,116,0,7600.0,7198.877335758252,3646.0307279921835,10336.607720004395,41.0
1760043193,200,POST,predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,33,12,3700.0,3759.9619703008407,2725.132224994013,4860.924061998958,235.0
1760043193,200,,Aggregated,12.200000,0.000000,4800,7400,7900,8600,9000,9800,10000,10000,10000,10000,10000,205,12,4600.0,5635.126781184508,1296.4677339914488,10336.607720004395,4109.4390243902435
1760043195,200,GET,download_processed,0.600000,0.000000,2000,2800,3600,3600,3700,3700,3700,3700,3700,3700,3700,7,0,2000.0,2404.79491627983,1296.4677339914488,3674.3033609964186,16269.0
1760043195,200,GET,download_warm,4.500000,0.000000,3500,3900,4600,4600,5000,5200,5400,5400,5400,5400,5400,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043195,200,GET,healthz,0.200000,0.000000,3800,3900,4300,4300,4400,4400,4400,4400,4400,4400,4400,9,0,3200.0,3478.069335333809,2697.4872660066467,4430.051676012226,41.0
1760043195,200,GET,healthz-warm,10.500000,0.000000,7900,8800,9300,9500,10000,11000,11000,11000,11000,11000,11000,126,0,7700.0,7510.274890967897,3646.0307279921835,11390.756947992486,41.0
1760043195,200,POST,predict,2.200000,0.100000,3400,4700,5000,5200,5600,6100,6200,6400,6400,6400,6400,82,16,3700.0,3930.5495136215495,2036.7663459910545,6359.720520005794,288.890243902439
1760043195,200,,Aggregated,18.000000,0.100000,4700,6900,7700,8500,9400,10000,11000,11000,11000,11000,11000,269,16,4600.0,5509.5453969772325,1296.4677339914488,11390.756947992486,3253.5762081784387
1760043196,200,GET,download_processed,0.600000,0.000000,2800,2900,3600,3600,3700,3700,3700,3700,3700,3700,3700,8,0,2000.0,2472.0474523710436,1296.4677339914488,3674.3033609964186,16269.0
1760043196,200,GET,download_warm,4.500000,0.000000,3500,3900,4600,4600,5000,5200,5400,5400,5400,5400,5400,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043196,200,GET,healthz,0.500000,0.000000,3800,3900,4300,4300,4400,4400,4400,4400,4400,4400,4400,10,0,3100.0,3407.8571557998657,2697.4872660066467,4430.051676012226,41.0
1760043196,200,GET,healthz-warm,10.600000,0.000000,8700,9600,10000,11000,11000,12000,12000,12000,12000,12000,12000,147,0,8400.0,8062.250860652639,3646.0307279921835,11750.883839995367,41.0
1760043196,200,POST,predict,4.200000,1.200000,3300,4100,4700,5000,5400,5700,6200,6400,6400,6400,6400,98,16,3600.0,3776.032486836496,2036.7663459910545,6359.720520005794,297.734693877551
1760043196,200,,Aggregated,20.400000,1.200000,4800,7400,8500,8900,11000,11000,12000,12000,12000,12000,12000,308,16,4600.0,5761.002722009324,1296.4677339914488,11750.883839995367,2915.1688311688313
1760043199,200,GET,download_processed,0.800000,0.000000,2900,3500,3600,3600,3700,5200,5200,5200,5200,5200,5200,11,0,2900.0,2896.6077769053463,1296.4677339914488,5172.066835002624,16269.0
1760043199,200,GET,download_warm,4.500000,0.000000,3300,3500,3600,3600,3800,3900,5400,5400,5400,5400,5400,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043199,200,GET,healthz,1.400000,0.000000,3100,3200,3200,3800,4300,4400,4400,4400,4400,4400,4400,20,0,3100.0,2986.2711945999763,1440.275427987217,4430.051676012226,41.0
1760043199,200,GET,healthz-warm,12.500000,0.000000,11000,11000,11000,12000,12000,13000,13000,13000,13000,13000,13000,166,0,8700.0,8541.211006463649,3646.0307279921835,13245.079069005442,41.0
1760043199,200,POST,predict,10.900000,1.600000,2800,3200,3500,3700,5000,5500,6100,6200,6400,6400,6400,154,18,3000.0,3227.0514050129327,1107.2687459964072,6359.720520005794,311.7142857142857
1760043199,200,,Aggregated,30.100000,1.600000,3600,5200,8900,9800,11000,12000,13000,13000,13000,13000,13000,396,18,4200.0,5484.158787522486,1107.2687459964072,13245.079069005442,2441.1464646464647
1760043201,200,GET,download_processed,1.000000,0.000000,4000,4400,4500,4500,4600,5200,5200,5200,5200,5200,5200,20,0,3700.0,3557.4943419480405,1296.4677339914488,5172.066835002624,16269.0
1760043201,200,GET,download_warm,3.100000,0.000000,3500,3600,3700,3800,3900,3900,3900,3900,3900,3900,3900,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043201,200,GET,healthz,2.000000,0.000000,3200,3600,3800,4200,4300,4300,4400,4400,4400,4400,4400,27,0,3200.0,3202.0207590000978,1440.275427987217,4430.051676012226,41.0
1760043201,200,GET,healthz-warm,10.800000,0.000000,11000,12000,13000,13000,15000,15000,15000,15000,15000,15000,15000,179,0,8900.0,8967.919793284816,3646.0307279921835,14964.545608992921,41.0
1760043201,200,POST,predict,15.400000,1.800000,3000,3500,3700,3900,4800,5300,5700,6200,6400,6400,6400,201,18,3200.0,3280.1459455424347,1107.2687459964072,6359.720520005794,320.3830845771144
1760043201,200,,Aggregated,32.300000,1.800000,3700,4500,5700,10000,12000,13000,15000,15000,15000,15000,15000,472,18,4000.0,5481.99841601687,1107.2687459964072,14964.545608992921,2394.762711864407
1760043203,200,GET,download_processed,1.800000,0.000000,4100,4500,4500,4600,4800,5200,5400,5400,5400,5400,5400,27,0,4100.0,3771.5935152211587,1296.4677339914488,5403.23224500753,16269.0
1760043203,200,GET,download_warm,1.000000,0.000000,3500,3600,3700,3800,3900,3900,3900,3900,3900,3900,3900,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043203,200,GET,healthz,2.700000,0.000000,3200,3600,4100,4100,4300,4400,4400,4400,4400,4400,4400,32,0,3200.0,3327.870290843748,1440.275427987217,4443.660400997032,41.0
1760043203,200,GET,healthz-warm,8.600000,0.000000,12000,13000,15000,15000,16000,17000,17000,17000,17000,17000,17000,194,0,9000.0,9517.80427147433,3646.0307279921835,16829.281992002507,41.0
1760043203,200,POST,predict,20.100000,1.800000,3200,3700,3900,4000,4600,5300,5700,6100,6400,6400,6400,254,18,3300.0,3332.503835401726,1107.2687459964072,6359.720520005794,326.2755905511811
1760043203,200,,Aggregated,34.200000,1.800000,3700,4400,5500,11000,13000,15000,16000,17000,17000,17000,17000,552,18,4000.0,5555.374463862345,1107.2687459964072,16829.281992002507,2288.963768115942
1760043204,200,GET,download_processed,2.000000,0.000000,4500,4600,4700,4700,4800,5200,5400,5400,5400,5400,5400,31,0,4400.0,3860.3634499665914,1296.4677339914488,5403.23224500753,16269.0
1760043204,200,GET,download_warm,0.000000,0.000000,3500,3600,3700,3800,3900,3900,3900,3900,3900,3900,3900,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043204,200,GET,healthz,2.800000,0.000000,3300,4100,4300,4300,4400,4500,4500,4500,4500,4500,4500,36,0,3300.0,3449.812023444489,1440.275427987217,4481.81401900365,41.0
1760043204,200,GET,healthz-warm,8.400000,0.000000,13000,15000,15000,15000,17000,18000,18000,18000,18000,18000,18000,200,0,9400.0,9760.332345075007,3646.0307279921835,17758.22345499182,41.0
1760043204,200,POST,predict,21.900000,1.800000,3300,3700,3900,4000,4200,4300,4400,6100,6400,6400,6400,287,18,3400.0,3375.88172268653,1107.2687459964072,6359.720520005794,329.2682926829268
1760043204,200,,Aggregated,35.100000,1.800000,3800,4300,6100,11000,13000,15000,17000,18000,18000,18000,18000,599,18,4000.0,5559.500584632697,1107.2687459964072,17758.22345499182,2238.0968280467446
1760043205,200,GET,download_processed,1.900000,0.000000,4500,4600,4700,4700,4800,5200,5400,5400,5400,5400,5400,34,0,4100.0,3891.8051685575524,1296.4677339914488,5403.23224500753,16269.0
1760043205,200,GET,download_warm,0.000000,0.000000,3500,3600,3700,3800,3900,3900,3900,3900,3900,3900,3900,45,0,3500.0,3674.0405994664698,2456.7674930003705,5366.628225005115,16269.0
1760043205,200,GET,healthz,2.600000,0.000000,3800,4200,4400,4400,4500,4600,4600,4600,4600,4600,4600,39,0,3600.0,3534.339469666473,1440.275427987217,4594.299945994862,41.0
1760043205,200,GET,healthz-warm,8.000000,0.000000,14000,15000,15000,16000,17000,18000,18000,18000,18000,18000,18000,200,0,9400.0,9760.332345075007,3646.0307279921835,17758.22345499182,41.0
